Zin;Context;;;
We zagen een hert in het bos, met grote oren.;Dieren;;;
Kijk, de krokodil doet zijn bek open!;Dieren;;;
Kijk, daar lopen allemaal miertjes over de stoep.;Dieren;;;
Er zit een mug in je kamer, ik haal hem wel weg.;Dieren;;;
De papegaai kan je napraten.;Dieren;;;
Wat een schattige puppy!;Dieren;;;
De schildpad loopt heel langzaam, kijk maar.;Dieren;;;
De koeien slapen in de stal als het koud is.;Dieren;;;
Wat een grote olifant!;Dieren, Dierentuin;;;
De poes zit op het dak! Kijk maar.;Dieren, Huis;;;
We moeten het huis goed schoonmaken voor Diwali!;Diwali;;;
Tijdens Diwali steken we diya's aan.;Diwali;;;
Wauw, kijk naar de mooie Rangoli!;Diwali;;;
Vind je de laddoos lekker?;Diwali;;;
Morgen is het Bhai-dooj. Ben je klaar om het met je zus te vieren?;Diwali;;;
Wil je je nieuwe outfit aan tijdens de pooja?;Diwali;;;
Kom op, we moeten snel naar de tempel!;Diwali;;;
Wil je mij helpen om de chakli's te maken?;Diwali;;;
We hebben dit jaar een lantaarn van karton gekozen. Mooi, hè?;Diwali;;;
Ik heb wat lekkers gemaakt voor de buren. Hopelijk vinden ze het lekker!;Diwali;;;
Kun jij me helpen de versiering op te hangen?;Diwali;;;
Oma maakt iets lekkers in de keuken!;Diwali;;;
Tijd voor muziek en dansen!;Diwali;;;
Vergeet niet om de gasten wat lekkers te geven!;Diwali;;;
Het vuurwerk is heel mooi, maar wel erg luid.;Diwali, Oud & Nieuw;;;
Als je goed luistert, is het zo voorbij!;Dokter;;;
Als je klaar bent, gaan we iets leuks doen!;Dokter;;;
Als je stilzit, doet het helemaal geen pijn.;Dokter;;;
De dokter gaat even in je oortjes kijken, dat kan een beetje kietelen.;Dokter;;;
De dokter gaat even luisteren naar je ademhaling.;Dokter;;;
De dokter gaat je buik zachtjes voelen.;Dokter;;;
De dokter heeft een grote jas aan, net als in het boek!;Dokter;;;
De dokter heeft een lampje om goed te kijken.;Dokter;;;
De dokter kijkt even met een klein spiegeltje in je keel.;Dokter;;;
De dokter kijkt of je groot en sterk wordt.;Dokter;;;
De dokter kijkt of je oren schoon zijn.;Dokter;;;
De dokter luistert met een stethoscoop, dat voelt een beetje koud!;Dokter;;;
De dokter schrijft op hoe groot je bent geworden.;Dokter;;;
De dokter tikt zachtjes op je knietje, dat is een test.;Dokter;;;
Een prikje helpt om je sterk te houden!;Dokter;;;
Even diep inademen en weer uitblazen!;Dokter;;;
Even op de weegschaal staan, net als een grote meid!;Dokter;;;
Het dokterslampje is een beetje fel, maar dat is niet eng.;Dokter;;;
Je krijgt een pleister, kies maar een mooie kleur!;Dokter;;;
Je mag je knuffel meenemen als je dat fijn vindt.;Dokter;;;
Je mag kiezen: een pleister met dieren of met sterretjes!;Dokter;;;
Je mag papa's hand vasthouden als je wilt.;Dokter;;;
Je mag vragen stellen aan de dokter.;Dokter;;;
Kijk, de dokter heeft een knuffel op de tafel staan!;Dokter;;;
Misschien krijg je wel een klein drankje als medicijn.;Dokter;;;
We gaan even kijken hoeveel je bent gegroeid.;Dokter;;;
We gaan naar de dokter om je te helpen beter te worden.;Dokter;;;
We tellen samen tot drie en dan is het prikje klaar.;Dokter;;;
We wachten even in de wachtkamer, dan ben jij zo aan de beurt!;Dokter;;;
Wil je helpen de thermometer vast te houden?;Dokter;;;
Zeg maar ‘aaa’, dan kan de dokter in je mond kijken.;Dokter;;;
De dokter gaat even naar je kijken.;Dokter;;;
De dokter gaat je even goed onderzoeken.;Dokter;;;
We gaan toch even naar je laten kijken.;Dokter;;;
De dokter legt de stethoscoop op je borst.;Dokter, het lichaam;;;
Jij bent slechthorend, dus moeten mensen jou goed aankijken tijdens het praten.;Doof & Slechthorend;;;
De juf gebruikt solo-apparatuur om met jou te praten.;Doof & Slechthorend;;;
Volgens mij is die meneer ook doof.;Doof & Slechthorend;;;
Taal kan met woorden, maar ook met gebaren!;Doof & slechthorend;;;
Leg het even neer als je gaat gebaren.;Doof & Slechthorend;;;
Het is niet erg om een foutje te maken.;Emoties;;;
Het is niet erg om even te huilen.;Emoties;;;
Het is niet erg om je zo te voelen.;Emoties;;;
Hey meissie, gaat het een beetje goed met jou?;Emoties;;;
Ik blijf bij je totdat je je beter voelt.;Emoties;;;
Ik snap dat je boos bent, maar slaan mag niet.;Emoties;;;
Ik zie dat je heel trots bent, goed gedaan!;Emoties;;;
Je hebt het zo goed geprobeerd, daar ben ik trots op!;Emoties;;;
Je mag altijd met mij praten als iets niet fijn voelt.;Emoties;;;
Je mag me altijd om een knuffel vragen.;Emoties;;;
Je mag trots zijn op jezelf.;Emoties;;;
Jij bent uniek en dat is prachtig!;Emoties;;;
Waarom denk je dat hij moest huilen?;Emoties;;;
Kom, we ademen even diep in en uit.;Emoties;;;
rustig maar kleintje, het komt wel weer goed!;Emoties;;;
Soms ben je boos, en dat is helemaal niet erg.;Emoties;;;
Soms helpt het om even te zingen of te dansen.;Emoties;;;
Soms is het lastig om te wachten, hè?;Emoties;;;
Soms is het moeilijk om je gevoel te begrijpen.;Emoties;;;
Soms voelt iets niet eerlijk, dat snap ik.;Emoties;;;
Wat fijn dat je zegt hoe je je voelt.;Emoties;;;
Wat helpt jou om weer rustig te worden?;Emoties;;;
Wat is er toch aan de hand?;Emoties;;;
Wat kun je doen als je boos bent, in plaats van schreeuwen?;Emoties;;;
We kunnen even samen iets leuks doen.;Emoties;;;
Wil je even een rustig plekje zoeken?;Emoties;;;
Wil je vertellen wat er is?;Emoties;;;
ben je alweer zo moe?;Emoties;;;
Ben je zo aan het lachen?;Emoties;;;
ben je zo blij om mama te zien?;Emoties;;;
Dadelijk mag je lekker naar bed.;Emoties;;;
Heb je zo'n leuke dag? ;Emoties;;;
Heb jij er weer zin in? ;Emoties;;;
Het valt toch wel mee?;Emoties;;;
Het valt wel mee.;Emoties;;;
ik ben zo blij met jou!  ;Emoties;;;
Ik vind het zo leuk om met jou te zijn. ;Emoties;;;
Is het echt zo erg?;Emoties;;;
kijk, daar is papa weer, zo gezellig. ;Emoties;;;
nou, mevrouwtje, zo erg is het allemaal niet. ;Emoties;;;
Nou, nou, nou. Is het nou zo erg?;Emoties;;;
Oh, ben je een beetje chagrijnig?;Emoties;;;
oh, heb je alweer zo'n honger?;Emoties;;;
Papa gaat altijd bij jou blijven. ;Emoties;;;
Denk je dat hij honden leuk vindt?;Emoties;;;
Rustig maar, hier heb je aap. (knuffel);Emoties;;;
schatje, toch.;Emoties;;;
Verveel je je? ;Emoties;;;
Vrolijke meid.;Emoties;;;
Ben je nog steeds kwaad?;Emoties;;;
Je kijkt verbaasd, is er iets?;Emoties;;;
Ah, dat kindje viel, dat is wel een beetje zielig hè.;Emoties;;;
Dat was gemeen van dat kindje, hè?;Emoties;;;
Allemaal opgegeten!;Eten & drinken;;;
Appel met pindakaas.;Eten & drinken;;;
Chocolaatje of een aardbei? Je mag kiezen.;Eten & drinken;;;
Dat heeft mama speciaal voor jou gemaakt.;Eten & drinken;;;
Dat is niet voor baby's.;Eten & drinken;;;
Dat is niet voor jou.;Eten & drinken;;;
Dat mag jij nog niet.;Eten & drinken;;;
De tafel kun je niet eten.;Eten & drinken;;;
Dit is voor papa en mama.;Eten & drinken;;;
Dit kan zo toch niet langer.;Eten & drinken;;;
even rustig aan, kleine.;Eten & drinken;;;
Ga jij een koekje pakken?;Eten & drinken;;;
Gebruik maar je bovenlip zo om het eraf te happen.;Eten & drinken;;;
Goed zo, eet maar lekker.;Eten & drinken;;;
hap, hap, hap, hap.;Eten & drinken;;;
Heb je een beetje trek?;Eten & drinken;;;
Heb je nog honger?;Eten & drinken;;;
Heb je zin in een beetje appel?;Eten & drinken;;;
Heb je zomaar een koekje te pakken?;Eten & drinken;;;
Hupsakee.;Eten & drinken;;;
Ik heb lekker een hapje met appel voor je.;Eten & drinken;;;
Ja, dat vind je lekker.;Eten & drinken;;;
Je bent nog te jong voor een koekje,;Eten & drinken;;;
Je hebt papa's hele vest ondergesmeerd met appel en pindakaas.;Eten & drinken;;;
Jij hebt net lekker bloemkool gegeten.;Eten & drinken;;;
jij krijgt zo te eten. Nu moeten papa en mama even eten.;Eten & drinken;;;
kijk, lekkere appel, ziet er heerlijk uit.;Eten & drinken;;;
kom er maar gezellig bij.;Eten & drinken;;;
Kom maar even hier, gaan we even zitten.;Eten & drinken;;;
Kopje koffie.;Eten & drinken;;;
Laat papa en mama maar heel even eten.;Eten & drinken;;;
Lekker rijst.;Eten & drinken;;;
maak je er weer een beetje een knoeiboel van?;Eten & drinken;;;
nee, de lepel moet zo, dan kan je het goed eraf happen.;Eten & drinken;;;
nee, zo kan je niet eten.;Eten & drinken;;;
Niet het bakje pakken;Eten & drinken;;;
Niet op je hoofdje smeren.;Eten & drinken;;;
nu zit het ook nog in je eigen haar.;Eten & drinken;;;
oh, op de grond!;Eten & drinken;;;
Pak het lepeltje maar goed vast.;Eten & drinken;;;
Papa gaat even koffie zetten.;Eten & drinken;;;
Speciaal voor Bobby.  (zie filmpje Tobias voor naamgebaar van Bobby);Eten & drinken;;;
stil maar, we zijn even aan het eten. Jij mag straks weer eten.;Eten & drinken;;;
Wat ben jij aan het doen met die lepel, stouterd? (liefkozend naar baby);Eten & drinken;;;
Wat ben jij van plan met dat koekje?;Eten & drinken;;;
Wat ben jij van plan?;Eten & drinken;;;
Wat gaat ermee gebeuren?;Eten & drinken;;;
wil jij ook een kopje koffie?;Eten & drinken;;;
Wil je mayonnaise of ketchup bij de patat?;Eten & drinken;;;
Wil je een kroket, frikandel of kaassouflé?;Eten & drinken;;;
Wil je poedersuiker of stroop op je pannenkoek?;Eten & drinken;;;
We eten vanavond vis met rijst.;Eten & drinken;;;
Deze patat is wel heel zout.;Eten & drinken;;;
Wil je appelmoes bij je aardappelen?;Eten & drinken;;;
Heb je dorst?;Eten & drinken;;;
We eten vandaag spinazie met een eitje.;Eten & drinken;;;
Wil je vla als toetje?;Eten & drinken;;;
Wil je een stukje worst proeven?;Eten & drinken;;;
We eten stamppot met andijvie vanavond.;Eten & drinken;;;
Nee lieverd, bier is alleen voor grote mensen.;Eten & drinken;;;
Nee, cola is voor iets oudere kindjes, jij krijgt limonade.;Eten & drinken;;;
Jij bent dol op banaan en pindakaas, hè?;Eten & drinken;;;
Wil je een beetje frisdrank?;Eten & drinken;;;
Wil je jus over je aardappeltjes?;Eten & drinken;;;
Ik til je in de kinderstoel, dan kunnen we eten.;Eten & drinken;;;
Wil je een stukje meloen? Hij is lekker zoet.;Eten & drinken;;;
Er zitten ook stukjes noot in deze muesli.;Eten & drinken;;;
Sperziebonen zijn groen en lang, wil je er eentje proeven?;Eten & drinken;;;
Zal ik een stukje stokbrood voor je afsnijden?;Eten & drinken;;;
Niet je handen afvegen aan het tafelkleed.;Eten & drinken;;;
Roer maar met je theelepeltje.;Eten & drinken;;;
Er zitten kruimels op je kin.;Eten & drinken, het lichaam;;;
Zullen we een warme chocolademelk drinken?;Eten & drinken, Seizoen & het weer;;;
Als je genoeg hebt gegeten, mag je van tafel.;Eten en drinken;;;
Als je rustig eet, kun je alles goed proeven.;Eten en drinken;;;
Ben je klaar voor je flesje?;Eten en drinken;;;
De melk moet nog even opwarmen.;Eten en drinken;;;
Drink even een slokje water tussendoor.;Eten en drinken;;;
Drink nog maar even door, je moet goed drinken;Eten en drinken;;;
Eerst proeven en dan beslissen of je het lust.;Eten en drinken;;;
Even wachten, mama blaast het eten nog even koud.;Eten en drinken;;;
Goed kauwen, dan kun je beter slikken.;Eten en drinken;;;
Goed zo, je hebt een grote hap genomen!;Eten en drinken;;;
Het eten is klaar, kom maar aan tafel!;Eten en drinken;;;
Je hebt heel netjes gegeten, goed zo!;Eten en drinken;;;
Je mag helpen met de druiven wassen.;Eten en drinken;;;
Je mag je beker zelf vasthouden.;Eten en drinken;;;
Je mag zelf je beker vullen met water.;Eten en drinken;;;
Je mag zelf kiezen welk fruit je wilt.;Eten en drinken;;;
Je mag zelf roeren in je yoghurt.;Eten en drinken;;;
Kijk, je hebt bijna alles op!;Eten en drinken;;;
Kijk, je hebt je hele boterham opgegeten!;Eten en drinken;;;
Laten we samen een smoothie maken!;Eten en drinken;;;
Laten we tellen hoeveel happen je nog neemt.;Eten en drinken;;;
Niet te snel eten, dan krijg je buikpijn.;Eten en drinken;;;
Oh jee, weer een beetje melk gemorst.;Eten en drinken;;;
Pas op, de soep is nog warm.;Eten en drinken;;;
Vandaag eten we iets nieuws, wil je proeven?;Eten en drinken;;;
Wat een grote slok, knap gedaan!;Eten en drinken;;;
Wat een lekker warm flesje melk!;Eten en drinken;;;
Wat een lekkere boterham heb jij!;Eten en drinken;;;
Wat een mooie kleuren hebben de groenten!;Eten en drinken;;;
Wat ruikt het eten lekker!;Eten en drinken;;;
We eten gezellig samen aan tafel.;Eten en drinken;;;
We eten met een vork en niet met de handjes.;Eten en drinken;;;
We ruimen samen op na het eten.;Eten en drinken;;;
Wil je de pasta met een vork of een lepel eten?;Eten en drinken;;;
Wil je een klein stukje of een groot stuk?;Eten en drinken;;;
Wil je helpen met de komkommer snijden?;Eten en drinken;;;
Zullen we een picknick in de woonkamer doen?;Eten en drinken;;;
Goed drinken, het is warm.;Eten en drinken, het weer;;;
Blijf maar lekker spelen, ik ben zo terug.;Even weg;;;
De deurbel gaat, ik doe even open.;Even weg;;;
Ik ben even met de buurvrouw aan het praten.;Even weg;;;
Ik ben in de gang, als je me zoekt.;Even weg;;;
Ik ben vlakbij, je kunt me roepen.;Even weg;;;
Ik ben zo terug, ik ga even naar de wc.;Even weg;;;
Ik doe even een lampje aan.;Even weg;;;
Ik ga even de boodschappen uit de auto halen.;Even weg;;;
Ik ga even de deur openmaken voor de pakketbezorger.;Even weg;;;
Ik ga even de post pakken.;Even weg;;;
Ik ga even de wasmachine aanzetten.;Even weg;;;
Ik ga even een kopje thee zetten.;Even weg;;;
Ik ga even iets uit de schuur pakken.;Even weg;;;
Ik ga even naar binnen om iets te pakken.;Even weg;;;
Ik ga even naar buiten om de konijnen eten te geven.;Even weg;;;
Ik ga even naar de auto.;Even weg;;;
Ik loop even naar de tuin, kom je zo?;Even weg;;;
Ik loop even naar de winkel, ik ben snel terug.;Even weg;;;
Ik moet even iemand bellen, maar ik ben zo terug.;Even weg;;;
Ik word gebeld, ik neem even op.;Even weg;;;
Heb je een gezellige dag gehad met opa en oma?;Familie & personen;;;
Mama gaat even plassen. ;Familie & personen;;;
Wat is papa aan het doen? ;Familie & personen;;;
We zijn weer met z'n drieën. ;Familie & personen;;;
Gisteren zijn we naar oma geweest.;Familie & personen;;;
Die vrouw heeft een mooie rode rok aan.;Familie & personen;;;
Deze familie heeft weinig geld, ze zijn arm.;Familie & personen;;;
De clown heeft een rode neus en heel grote schoenen, zie je dat?;Familie & personen;;;
Papa werkt nu op de computer.;Familie & personen;;;
Jij bent een stoere cowboy met een hoed!;Familie & personen;;;
Opa woont in een klein dorp met een molen.;Familie & personen;;;
Goedenavond opa, fijn dat je er bent!;Familie & personen;;;
Opa heeft een heel mooi horloge.;Familie & personen;;;
Wat is die meneer lang, hè? Zijn hoofd raakt bijna het plafond!;Familie & personen;;;
De radio staat aan, zie je papa dansen?;Familie & personen;;;
Vanochtend zijn we bij opa en oma geweest.;Familie & personen;;;
Zondag komt papa weer thuis, dan gaan we iets leuks doen!;Familie & personen;;;
Wil je oma een emoji sturen via Whatsapp?;Familie & personen;;;
Wil je papa een berichtje sturen op Signal?;Familie & personen;;;
Opa heeft zijn been gebroken en zit daarom in een rolstoel.;Familie & personen, het lichaam;;;
Dit is het huis van oma en opa.;Familie en personen;;;
Je hebt een grote broer.;Familie en personen;;;
Je hebt een hele lieve familie!;Familie en personen;;;
Je kleine zusje houdt heel veel van jou!;Familie en personen;;;
Je mag oma helpen met koekjes bakken.;Familie en personen;;;
Je mag straks helpen bij opa in de tuin.;Familie en personen;;;
Je neefje wil graag met je spelen.;Familie en personen;;;
Mama belt even met opa, wil je hallo zeggen?;Familie en personen;;;
Oma heeft een cadeautje voor je meegenomen.;Familie en personen;;;
Opa en oma vinden het altijd fijn om jou te zien.;Familie en personen;;;
Opa en oma zijn blij om jou te zien!;Familie en personen;;;
Opa en oma zijn trots op jou!;Familie en personen;;;
Opa vertelt graag mooie verhalen.;Familie en personen;;;
Papa en mama houden heel veel van jou!;Familie en personen;;;
Papa komt zo thuis!;Familie en personen;;;
We gaan een cadeautje uitzoeken voor oma.;Familie en personen;;;
We gaan een foto van de hele familie maken!;Familie en personen;;;
We gaan een videoboodschap sturen naar oma.;Familie en personen;;;
We maken een mooi knutselwerkje voor opa.;Familie en personen;;;
We maken een mooie foto voor opa en oma.;Familie en personen;;;
We sturen een kaartje naar opa en oma.;Familie en personen;;;
Wie mis je het meest?;Familie en personen;;;
Wie wil jij bellen? Opa of oma?;Familie en personen;;;
Wil je een tekening maken voor je tante?;Familie en personen;;;
Wil je een verhaaltje horen over vroeger?;Familie en personen;;;
Wil je kijken naar oude foto's?;Familie en personen;;;
Wil je met je neefjes spelen?;Familie en personen;;;
Wil je oma een kusje geven?;Familie en personen;;;
Zullen we een mooi liedje zingen voor oma?;Familie en personen;;;
Als je een deur heel hard dichtslaat, kunnen anderen schrikken.;Geluiden;;;
Als je je speelgoed laat vallen, maakt dat veel geluid.;Geluiden;;;
De stofzuiger maakt veel lawaai.;Geluiden;;;
De telefoon maakt geluid als iemand belt.;Geluiden;;;
De vogels fluiten buiten.;Geluiden;;;
Je praat nu heel zacht, kan je iets harder praten?;Geluiden;;;
Je stem is nu erg luid, probeer eens wat zachter te praten.;Geluiden;;;
Kijk eens naar de anderen, ze schrikken een beetje van het harde geluid.;Geluiden;;;
Kijk, de hond blaft!;Geluiden;;;
Sommige geluiden kun je ook voelen.;Geluiden;;;
Sommige mensen vinden harde geluiden niet fijn, laten we wat zachter doen.;Geluiden;;;
Voel je de trillingen van de muziek?;Geluiden;;;
Voel maar, de wasmachine trilt als hij aanstaat.;Geluiden;;;
Als de donder dichtbij is, dan trilt de grond een beetje.;Geluiden/het weer;;;
De bliksem komt eerst, daarna komt de donder.;Geluiden/het weer;;;
Donder klinkt voor horende mensen als een heel hard geluid, maar jij kan heel goed de trilling voelen, hè?;Geluiden/het weer;;;
Je kunt donder niet zien, bliksem wel.;Geluiden/het weer;;;
Even je haar kammen, dan zit het weer mooi.;Haren doen;;;
Even je pony goed doen.;Haren doen;;;
Ik maak je haar even nat, dan kan ik het beter kammen.;Haren doen;;;
Je haar is heel lang geworden!;Haren doen;;;
Je haar is nog nat van het douchen.;Haren doen;;;
Je haar zit nog een beetje door de war.;Haren doen;;;
Je hebt lekker zacht haar.;Haren doen;;;
Kijk eens hoe mooi je krullen zijn!;Haren doen;;;
Nog even je haar goed doen, dan ben je klaar!;Haren doen;;;
Wat voor kapsel wil je vandaag?;Haren doen;;;
We doen even een klipje in je haar.;Haren doen;;;
We kunnen ook een knotje maken!;Haren doen;;;
We vlechten je haar, dan zit het mooi vast.;Haren doen;;;
Wil je dat ik je haar föhn?;Haren doen;;;
Wil je een elastiekje in?;Haren doen;;;
Wil je een stoere kuif?;Haren doen;;;
Wil je je haar los of vast vandaag?;Haren doen;;;
Wil je twee vlechtjes of één grote vlecht?;Haren doen;;;
Zullen we je haar even korter knippen binnenkort?;Haren doen;;;
Je hebt een prachtig lichaam!;Het lichaam;;;
Je hebt mooie nageltjes!;Het lichaam;;;
Je huid voelt zacht aan.;Het lichaam;;;
Je tong helpt je om te proeven.;Het lichaam;;;
Jouw buik beweegt als je ademt.;Het lichaam;;;
Jouw haren groeien elke dag een beetje.;Het lichaam;;;
Kijk eens hoe lang je armen zijn!;Het lichaam;;;
Kun je met je tenen wiebelen zonder je handen te gebruiken?;Het lichaam;;;
Raak je tenen maar aan, lukt dat?;Het lichaam;;;
Sommige mensen hebben sproetjes op hun huid.;Het lichaam;;;
Waar zit je navel?;Het lichaam;;;
Waar zitten je wimpers?;Het lichaam;;;
Weet je waar je elleboog zit?;Het lichaam;;;
Te veel suiker is slecht voor je.;Het lichaam, Eten & drinken;;;
Buiten is alles nat geworden door de regen.;Het weer;;;
De lucht wordt donker, het gaat misschien regenen.;Het weer;;;
Doe maar even een pet op tegen de zon.;Het weer;;;
Het sneeuwt zachtjes, allemaal kleine vlokjes.;Het weer;;;
Wat een donkere wolken in de lucht.;Het weer;;;
We doen je zonnebril op tegen de felle zon.;Het weer;;;
Zie je het waaien? Het stormt buiten.;Het weer;;;
Kijk, er komt hagel uit de lucht, kleine witte bolletjes!;het weer;;;
Oh kijk, ze hebben alles al klaargezet voor het vuur van vanavond!;Holi;;;
Ken jij het verhaal van Holika en het vuur?;Holi;;;
Wil je kokos uit het vuur proeven? Dat is een van mijn lievelingsdingen!;Holi;;;
Wauw, kijk naar de grote vlammen!;Holi;;;
Morgen is het Rang Panchami — dan gaan we met kleurpoeder spelen!;Holi;;;
Laten we oude kleren aandoen, dan mogen ze vies worden!;Holi;;;
Kijk! Ze gooit kleurpoeder op haar vriendinnetje!;Holi;;;
We zeggen “Fijne Holi!” tegen iedereen!;Holi;;;
Wil je me helpen met Holi-poeder maken?;Holi;;;
Wil je samen de waterballonnen vullen?;Holi;;;
De hele straat ziet eruit als een regenboog vandaag!;Holi;;;
We gebruiken felle poeders zoals roze, groen en geel!;Holi;;;
Laten we wat olie op ons gezicht doen, dan gaan de kleuren er makkelijk af.;Holi;;;
Geen poeder in de ogen gooien, goed?;Holi;;;
Ruik je de gujiya’s uit de keuken? Ze ruiken zo lekker!;Holi;;;
Wil jij een beetje puran poli proeven? Het is heel zoet!;Holi;;;
We gaan verhuizen, straks wonen we in een ander huis.;Huis;;;
De kachel staat aan, dus het wordt lekker warm.;Huis;;;
De bank is om op te zitten, niet om te springen.;Huis en kamers;;;
De kelder is een plek om spullen op te bergen.;Huis en kamers;;;
De spiegel hangt in de badkamer.;Huis en kamers;;;
De trap is om naar boven en beneden te gaan.;Huis en kamers;;;
De trapleuning is om je aan vast te houden.;Huis en kamers;;;
Even het licht aandoen, dan zien we meer.;Huis en kamers;;;
Ik doe even het raam open voor frisse lucht.;Huis en kamers;;;
In de kast staan onze kopjes en bordjes.;Huis en kamers;;;
In de la liggen de vorken en messen.;Huis en kamers;;;
In de slaapkamer staat je bed.;Huis en kamers;;;
Je speelgoed ligt in de speelkamer.;Huis en kamers;;;
Onze fietsen staan in de schuur.;Huis en kamers;;;
We doen de deur zachtjes dicht.;Huis en kamers;;;
We zetten de tv even uit, dan is het rustiger.;Huis en kamers;;;
We zetten een plantje op de vensterbank.;Huis en kamers;;;
Zet je schoenen maar netjes bij de deur.;Huis en kamers;;;
Zullen we gezellig de kaarsjes aandoen?;Huis en kamers;;;
Zullen we samen je kamer opruimen?;Huis en kamers;;;
Het fornuis is heet, niet aankomen.;Huis en kamers, waarschuwing;;;
De wc is om op te plassen en te poepen.;Huis en kamers, wc;;;
Nee lieverd, ik eet later.;Jom Kippoer;;;
Natuurlijk mag je eten! Alle kinderen eten, en sommige volwassenen vasten.;Jom Kippoer;;;
Jom Kippoer is een verdrietige dag.;Jom Kippoer;;;
We denken na over dingen waar we spijt van hebben.;Jom Kippoer;;;
Maar daarna kijken we uit naar een beter jaar!;Jom Kippoer;;;
De kapper doet ook een beetje haarlak in je haar.;Kapper;;;
De kapper föhnt je haar even droog.;Kapper;;;
De kapper gaat nu met de tondeuse.;Kapper;;;
De kapper gebruikt een schaar en een kam.;Kapper;;;
De kapper knipt de puntjes eraf.;Kapper;;;
De kapper spuit een beetje water op je haar.;Kapper;;;
Even je hoofd stilhouden, dan gaat het goed.;Kapper;;;
Even wachten, de kapper is bijna klaar.;Kapper;;;
Je haar groeit vanzelf weer aan.;Kapper;;;
Je mag zelf in de spiegel kijken hoe het wordt.;Kapper;;;
Kijk eens hoe mooi het is geworden!;Kapper;;;
Wat een mooi kapsel heb je nu!;Kapper;;;
Wat een verschil, hè?;Kapper;;;
Wil je een snoepje na het knippen?;Kapper;;;
Wil je je haar kort of lang laten?;Kapper;;;
Wil je op een kussen zitten zodat je hoger zit?;Kapper;;;
Zit je lekker op de stoel?;Kapper;;;
We gaan een kerstboom kopen.;Kerst;;;
We gaan de kerstboom versieren. ;Kerst;;;
Je mag iets moois uitzoeken voor in de kerstboom.;Kerst;;;
Pas op, de kerstballen kunnen breken.;Kerst;;;
Zullen we de kerstballen voorzichtig ophangen?;Kerst;;;
We doen ook lichtjes in de boom.;Kerst;;;
We kunnen slingers in de boom hangen.;Kerst;;;
We zetten de lichtjes in de boom aan.;Kerst;;;
Wil je helpen met de piek?;Kerst;;;
Wij gaan naar het tuincentrum om een kerstboom te kopen.;Kerst;;;
Even de naalden opzuigen. (context: kerstboomnaalden met stofzuiger opzuigen);Kerst;;;
Oh kijk, er zijn allemaal naalden uit de boom gevallen. ;Kerst;;;
De poes mag niet in de boom.;Kerst;;;
We hebben een kerststalletje.;Kerst;;;
Kijk, dat is baby Jezus, dat is Maria, en dat is Jozef.;Kerst;;;
Met kerstmis mogen we de cadeautjes uitpakken.;Kerst;;;
Vandaag is het kerstmis.;Kerst;;;
Je mag in de avond naar school.;Kerst;;;
Ga je op school eten?;Kerst;;;
Je mag iets lekkers meenemen naar school.;Kerst;;;
Wat wil jij maken voor het kerstdiner?;Kerst;;;
Ga je met alle kindjes op school eten?;Kerst;;;
Je mag je mooie kleren aan.;Kerst;;;
Je mag je foute kersttrui aan!;Kerst;;;
Dat zijn de rendieren en de slee van de kerstman waarmee hij door de lucht vliegt.;Kerst;;;
De kerstman neemt cadeautjes mee en die legt hij onder de boom.;Kerst;;;
Kijk, dit zijn de rendieren die trekken de slee van de kerstman.;Kerst;;;
Dat zijn hele speciale rendieren want ze kunnen vliegen, maar ze hebben geen vleugels.;Kerst;;;
Het is vandaag kerstavond.;Kerst;;;
Papa en mama gaan vanavond naar de kerk.;Kerst;;;
We gaan naar de kerk vandaag.;Kerst;;;
We gaan kerst vieren in de kerk.;Kerst;;;
Je mag vanavond in je pyjama blijven.;Kerst;;;
Het is kerst.;Kerst;;;
Zullen we een kerstfilm kijken?;Kerst;;;
Er is sneeuw! Zullen we buiten spelen?;Kerst;;;
Het is donker buiten, maar binnen is het gezellig met de lichtjes, hè?;Kerst;;;
Kijk, overal hangen lampjes.;Kerst;;;
Met kerst denken we aan mensen die we lief vinden.;Kerst;;;
We gaan een kerstkaart maken voor oma en opa.;Kerst;;;
Zal ik de kaarsjes aansteken?;Kerst;;;
Wil je een tekening maken op de kerstkaart?;Kerst;;;
Zullen we een kerstliedje zingen?;Kerst;;;
In het kerstverhaal zit ook een engel met vleugels.;Kerst;;;
Als je niet kiest, kies ik voor jou.;Keuzes maken;;;
Denk goed na voordat je kiest.;Keuzes maken;;;
Je hoeft niet altijd de perfecte keuze te maken.;Keuzes maken;;;
Je hoeft niet te haasten, neem je tijd om te kiezen.;Keuzes maken;;;
Je mag er eentje kiezen, je mag niet alles.;Keuzes maken;;;
Je mag zelf een stempel kiezen.;Keuzes maken;;;
Je mag zelf kiezen.;Keuzes maken;;;
Wat wil je als eerste doen?;Keuzes maken;;;
Welke knuffel neem je mee naar bed?;Keuzes maken;;;
Welke vind je mooier?;Keuzes maken;;;
Welke wil je liever?;Keuzes maken;;;
Jij mag vandaag kiezen, morgen mag je zusje kiezen.;Keuzes maken, Familie en personen;;;
Wil je binnen of buiten spelen?;Keuzes maken, Spelen;;;
Daar zijn de schapen, ze hebben zachte wol.;Kinderboerderij, Dieren;;;
De boer zorgt goed voor de dieren.;Kinderboerderij, Dieren;;;
De cavia’s zitten verstopt in hun hok.;Kinderboerderij, Dieren;;;
De geitjes vinden het leuk om te klimmen.;Kinderboerderij, Dieren;;;
De konijnen hebben grote oren, zie je dat?;Kinderboerderij, Dieren;;;
